date,frequency,interest_rates_banking_institutions,fixed_rates_period_in_months,fixed_rates_period_in_months_1,commercial_banks_fixed_rates_period_in_months,commercial_banks_fixed_deposit_rates,commercial_banks_fixed_deposit_rates_1,weighted_average_fixed_rates_period_in_months,weighted_average_fixed_rates_period_in_months_1,commercial_banks_weighted_average_fixed_rates_period_in_months,commercial_banks_weighted_avg_fixed_deposit_rates,commercial_banks_weighted_avg_fixed_deposit_rates_1,savings_rate,weighted_average_savings_rate,base_rate2_br,weighted_average_br,base_lending_rate_blr,weighted_average_blr,average_lending_rate_alr_on_outstanding_loans,weighted_alr_on_outstanding_loans,investment_banks_fixed_rates_period_in_months,investment_banks_fixed_deposit_rates,investment_banks_fixed_deposit_rates_1,investment_banks_fixed_deposit_rates_1_1,investment_banks_fixed_deposit_rates_2,average_lending_rate_on_outstanding_loans
2013-01-01,Annual,,2.91,2.9699999999999993,3.02,3.049166666666667,3.149999999999999,,,,,,1.0099999999999998,,,,6.53,,4.6498,5.432027416019068,3.0003083333333334,3.0878083333333333,3.181533333333333,3.355641666666667,3.375625,6.599841666666666
2014-01-01,Annual,,2.993314814814815,3.048107787274455,3.0991121320037993,3.1317566951566946,3.225395299145299,,,,,,1.0325868906455862,,,,6.659134615384612,,4.587026543209877,5.438913407769996,3.224982523148148,3.335958217592593,3.466299900793651,3.4935720634920635,3.488611666666666,6.490366136363636
2015-01-01,Annual,,3.0833333333333335,3.1344871794871803,3.1853858974358977,3.2258554487179496,3.3116987179487176,,,,,,1.0582742424242426,,,,6.78653846153846,,4.565377469135803,5.424220404082328,3.373478125,3.5100866071428567,3.6294218750000002,3.763286111111111,3.7665833333333336,6.8791400000000005
2016-01-01,Annual,,2.9749273399758454,3.028035630341881,3.084568196581196,3.1255072991453,3.1805549145299143,,,,,,1.0010679004329004,,,,6.728930769230767,,4.531061419753087,5.313293371579893,3.3176802083333334,3.452957589285715,3.3819739583333335,3.430509087301587,3.5473055555555555,6.628584537037036
2017-01-01,Annual,,2.874643402777778,2.924518666666667,2.9872666666666663,3.0238,3.0907,,,,,,0.9616861111111109,,,,6.665833333333334,,4.608078086419753,5.209783427007398,3.2709833333333336,3.4231874999999996,3.6405806547619046,3.552103611111111,3.7048611111111107,6.466489814814815
2018-01-01,Annual,,3.071989205917875,3.1434437222222225,3.2081722222222218,3.244705555555555,3.3133944444444445,,,,,,1.0434166666666667,,,,6.88578611111111,,4.928651602564102,5.412665226873152,3.342989930555556,3.5462166666666666,3.69667123015873,3.6672513888888894,3.826547222222221,6.484987037037036
2019-01-01,Annual,,2.9211206521739133,2.9833906249999997,3.0518402777777762,3.1006582125603868,3.170818236714977,,,,,,1.0133190476190477,,,,6.778611111111114,,4.809198717948718,5.201508592629394,3.1821183035714284,3.4128385416666673,3.59067619047619,3.64125,3.7443408333333337,6.486749629629628
2020-01-01,Annual,,1.883302536231884,1.9548927083333332,2.0107638888888886,2.067152777777778,2.1310763888888897,,,,,,0.6146432539682541,,,,5.833541666666668,,3.88529358974359,4.285336791765214,2.3079249999999996,2.4310625,2.5499346726190484,2.9349305555555563,3.0638293650793647,6.085259999999999
2021-01-01,Annual,,1.4807119565217388,1.5614961805555554,1.6393402777777781,1.6681944444444443,1.7162499999999998,,,,,,0.5367369047619047,,,,5.489583333333335,,3.370342307692308,3.8418285843177915,1.9678031249999999,2.105807291666667,2.1883900297619046,2.5094444444444446,2.4408807539682535,5.6435725
2022-01-01,Annual,,1.8414221014492755,1.9490500000000004,2.0306152777777773,2.0747069444444444,2.109233333333333,2.133188203571922,2.30968855495717,2.4295735618202206,2.4366298121842793,2.482741992932202,0.6798553373015874,0.39725949683719614,3.2127777777777777,2.840305013337168,5.882789855072464,6.254227248923989,3.9080266666666663,4.186663577540706,2.3306875,2.6109739583333336,2.5739770833333333,2.9547847222222217,2.8358531746031748,5.848453333333333
2023-01-01,Annual,,2.579061956521738,2.650416666666667,2.714965277777777,2.771805555555556,2.8056597222222224,2.468751515266623,2.5915368301885624,2.685367340025525,2.7123160113852616,2.748039518701848,0.9139983333333334,0.4259848944541809,3.629444444444445,3.5853594993492277,6.595652173913046,6.670010776412808,5.317375025641026,5.002219271171541,3.151816220238095,3.54427619047619,3.5927069940476195,3.738454861111111,3.6304166666666666,6.800224166666666
2024-01-01,Annual,,2.5572937747035573,2.6471154589371984,2.7318991545893714,2.7754649758454106,2.797159090909091,2.381637400029115,2.5094202830711714,2.5535286800842036,2.570090656357482,2.5948158378536323,0.8989837280701756,0.4316924348623224,3.712777777777779,3.6625975511355033,6.682147562582347,6.752000513114109,5.282681,5.107033788597119,3.2522964285714284,3.604492857142857,3.660686904761905,3.7253158333333345,3.6530549999999997,6.881293518518519
2025-01-01,Annual,,2.2926431818181823,2.421801712779974,2.5317523056653486,2.510847684923772,2.5292929292929296,2.048587047248182,2.2174787267680336,2.3055064319499867,2.3142457642347276,2.333313640176973,0.8180999269005848,0.38814287525193764,3.587777777777779,3.5290140161359127,6.554834054834057,6.624592318130834,4.824728819444444,4.881222209162473,3.14960119047619,3.5152226190476195,3.6306380952380954,3.7068983333333336,3.548379166666667,6.634480555555555
