date,frequency,agriculture_foresty_and_fishing,construction,electricity_gas_and_water,finance_insurance_real_estate_and_business_services,government_and_other_services,manufacturing,mining_and_quarrying,transport_storage_and_communications,wholesale_retail_trade_hotels_and_restaurants,total_new_issues
2010-03-01,Monthly,,46.33144686,,2586.3141979999996,761.49765768,,,76.37611211,,3470.51941465
2010-04-01,Monthly,,451.09755583,,8621.354449,,,,74.0,,9146.45200483
2010-05-01,Monthly,,,,1644.3111499999998,,222.02460000000002,,603.06,,2469.3957499999997
2010-06-01,Monthly,,647.262,20.0,2404.25,,,,33.256,,3104.7679999999996
2010-07-01,Monthly,10.0,188.250175,,1769.8355,,,,,,1968.0856749999998
2010-08-01,Monthly,125.0,1.506,,4035.25,290.0,,,,,4451.756
2010-09-01,Monthly,,82.462,,2235.822,50.0,,,5225.0,398.256,7991.54
2010-10-01,Monthly,,831.648539,,2520.6679999999997,,146.0,,,,3498.3165389999995
2010-11-01,Monthly,,86.12807237,600.0,1428.62908,,,,,,2114.75715237
2010-12-01,Monthly,,6178.764292209999,,6209.155000000001,,319.73587,,,,12707.655162210001
2011-01-01,Annual,465.0,3502.22615817,20855.440000000002,33370.97440411,5360.0,1659.9368,,3895.0,452.06944999999996,69560.64681228
2011-01-01,Monthly,,20.0,,286.5,,,,,348.544,655.044
2011-02-01,Monthly,,1250.0,2700.0,1779.6306,3340.0,,,,,9069.6306
2011-03-01,Monthly,,320.0,,2173.79457511,,,,,,2493.79457511
2011-04-01,Monthly,50.0,1.72698832,1000.0,2618.998529,,,,,,3670.72551732
2011-05-01,Monthly,,103.87707085,,3935.0,1080.0,,,450.0,,5568.87707085
2011-06-01,Monthly,,9.454522,9190.0,1727.4775,,440.0,,300.0,,11666.932022
2011-07-01,Monthly,35.0,62.19463224,,1114.9722,300.0,,,1200.0,,2712.16683224
2011-08-01,Monthly,,33.167977,2665.44,9380.0,290.0,569.9368,,380.0,,13318.544777
2011-09-01,Monthly,30.0,170.0,,1390.0,89.0,,,1365.0,,3044.0
2011-10-01,Monthly,350.0,1398.52209276,,1629.566,11.0,,,,,3389.08809276
2011-11-01,Monthly,,8.0,5280.0,4300.0,250.0,500.0,,,103.52545,10441.52545
2011-12-01,Monthly,,125.282875,20.0,3035.0349999999994,,150.0,,200.0,,3530.3178749999993
2012-01-01,Annual,2845.0,4697.682393,12028.5047,75392.665121,12822.6079171,2196.6272710000003,,10889.5975,250.0,121122.68490210001
2012-01-01,Monthly,,16.0,2580.0,31312.0,,,,,30.0,33938.0
2012-02-01,Monthly,80.0,,,2386.962885,83.888,700.0,,2450.0,20.0,5720.850885
2012-03-01,Monthly,,16.0,3940.0,680.606,109.172,370.0,,,,5115.777999999999
2012-04-01,Monthly,,1570.0,,450.3229,,230.0,,,,2250.3229
2012-05-01,Monthly,100.0,1188.3208,,3745.601,120.0,,,290.0,,5443.9218
2012-06-01,Monthly,,296.65,470.0,5388.159,5564.5833,207.904371,,1000.0,,12927.296671
2012-07-01,Monthly,635.0,916.0,,3965.0,,,,,20.0,5536.0
2012-08-01,Monthly,25.0,,5038.5047,5382.681436,760.0,270.0,,4953.4800000000005,,16429.666136
2012-09-01,Monthly,1000.0,16.0,,5120.0,3478.464454,33.75,,1000.0,,10648.214454
2012-10-01,Monthly,300.0,,,3789.8319,1826.5001631,,,,,5916.332063100001
2012-11-01,Monthly,,16.0,,9585.0,,,,896.1175000000001,170.0,10667.1175
2012-12-01,Monthly,705.0,662.711593,,3586.5,880.0,384.97290000000004,,300.0,10.0,6529.184493
2013-01-01,Annual,1279.1905000000002,7628.79137939,10927.1777,48388.69826023,5581.03869813,1377.840756,0.0,8573.27553165,109.26849999999999,83865.28132539999
2013-01-01,Monthly,300.0,56.0,4408.0403,6801.988200000001,0.0,0.0,0.0,0.0,0.0,11566.0285
2013-02-01,Monthly,0.0,0.0,0.0,4291.985000000001,1200.0,440.0,0.0,0.0,0.0,5931.985000000001
2013-03-01,Monthly,224.19050000000001,1634.2587383900002,1000.0,1500.0,739.96819913,4.623656,0.0,0.0,0.0,5103.041093520001
2013-04-01,Monthly,80.0,500.0,0.0,2687.4858,150.0,0.0,0.0,650.0,0.0,4067.4858
