date,frequency,bank,less_than_500k,500k_to_1m,1m_to_5m,more_than_5m,total_outstanding
2025-01-01,Monthly,Bank-bank Islam / Islamic banks,17656.81356455999,16139.796552779999,48425.80297594,61364.09850195998,143586.51159523995
2025-01-01,Monthly,Bank-bank pelaburan / Investment banks,3.7635609299999997,6.01642109,133.90130224000004,1418.57389135,1562.25517561
2025-01-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,5743.693225100002,1930.7921033999992,4494.3669616399975,11766.681494980001,23935.533785119995
2025-01-01,Monthly,Jumlah / Total,59241.64150848998,44181.028698300004,131179.51076470996,180325.62713448002,414927.8081059802
2025-02-01,Monthly,Bank-bank perdagangan / Commercial banks,35658.26036784001,26051.506365030018,78271.71819734003,104140.94004505,244122.4249752601
2025-02-01,Monthly,Bank-bank Islam / Islamic banks,17640.33487028,16182.594933370001,48697.07343953001,61985.20241061,144505.20565379004
2025-02-01,Monthly,Bank-bank pelaburan / Investment banks,3.05810543,5.1160293999999995,123.68405437999999,1399.52342275,1531.38161196
2025-02-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,5761.57475596,1934.2178597700006,4542.943811589998,11815.56520061,24054.301627930003
2025-02-01,Monthly,Jumlah / Total,59063.22809951003,44173.43518757002,131635.4195028401,179341.23107901998,414213.31386893993
2025-03-01,Monthly,Bank-bank perdagangan / Commercial banks,35608.01040853,26037.669658410014,78656.41474626,106385.24340392002,246687.33821712
2025-03-01,Monthly,Bank-bank Islam / Islamic banks,17667.87225461999,16258.052138300001,49144.391728140006,63194.987765039994,146265.30388609998
2025-03-01,Monthly,Bank-bank pelaburan / Investment banks,3.01784509,4.68593828,124.12199854000002,1409.8450881100002,1541.67087002
2025-03-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,5776.43252384,1928.5810015600005,4588.6831999700025,11835.736382399997,24129.433107769997
2025-03-01,Monthly,Jumlah / Total,59055.33303207999,44228.98873655002,132513.61167291005,182825.81263947,418623.74608101003
2025-04-01,Monthly,Bank-bank perdagangan / Commercial banks,35567.11928324001,25930.767361620008,78540.15128442994,106701.72181875,246739.75974804
2025-04-01,Monthly,Bank-bank Islam / Islamic banks,17610.206384720008,16246.152307170001,49265.852676689996,63554.49618552003,146676.70755410002
2025-04-01,Monthly,Bank-bank pelaburan / Investment banks,3.03114946,4.42582615,126.73038401000001,1470.4050705000002,1604.5924301199998
2025-04-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,5751.71608061,1916.31565569,4584.930455509997,11786.185868199998,24039.148060009993
2025-04-01,Monthly,Jumlah / Total,58932.07289803001,44097.66115063,132517.66480063993,183512.80894297,419060.20779227
2025-05-01,Monthly,Bank-bank perdagangan / Commercial banks,35544.919573960025,25886.31879932999,78873.67692669004,106709.37982865,247014.29512863004
