date,frequency,purpose,purchase_of_securities,fixed_assets_non_property_total,transport_vehicles_total,purchase_of_passenger_cars,transport_vehicles_others,fixed_assets_non_property_others,purchase_of_residential_property,purchase_of_non_residential_property,construction,working_capital,other_purposes,financing,memo_item_credit_card
2023-03-01,Monthly,Bank-bank perdagangan / Commercial banks,3941.9496092399995,20005.70035246,17431.696536789997,11481.397540739998,5950.29899605,2574.00381567,5155.36690021,80564.16090653003,11643.107134550002,93636.85676447005,8571.411811840002,223518.55347930006,404.6669350399998
2023-03-01,Monthly,Bank-bank Islam / Islamic banks,849.684715,7423.181414740003,5405.325135530003,3724.386555290001,1680.9385802400009,2017.8562792100006,1954.90711907,39646.00509430999,5633.86363726,54900.79655882003,4373.42108934,114781.85962854,54.80806226000001
2023-03-01,Monthly,Bank-bank pelaburan / Investment banks,871.85518925,0.3435927299999999,0.3435927299999999,0.0,0.3435927299999999,0.0,41.41504861,127.18662696999999,100.22803490000001,89.66747216,228.41042703,1459.1063916499993,0.0
2023-03-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,24.15758186,1241.5760328999995,281.6871440899999,8.03538148,273.65176260999993,959.8888888099998,46.53087862,1950.3514388099998,4082.4725811900007,10331.42938409,4117.868604860001,21794.51525663,0.0
2023-03-01,Monthly,Jumlah / Total,5687.64709535,28670.801392830006,23119.05240914,15213.819477509998,7905.23293163,5551.748983690001,7198.21994651,122287.70406662002,21459.671387900005,158958.75017954005,17291.111933070002,361554.03475612,459.4749972999998
2023-04-01,Monthly,Bank-bank perdagangan / Commercial banks,3682.6929617100004,20148.39824026999,17595.869250529995,11607.333902689998,5988.535347839999,2552.5289897400007,5127.702714849999,80381.17690657999,11676.361692439994,92007.98463932998,8712.10533091,221736.42248609025,528.0977458900002
2023-04-01,Monthly,Bank-bank Islam / Islamic banks,847.33078589,7526.730236419997,5506.665486229997,3801.2556270599985,1705.4098591699992,2020.06475019,1968.4545541100001,39739.70301649999,5670.81355535,55035.33712606996,4329.906417059999,115118.27569139986,56.23517842000002
2023-04-01,Monthly,Bank-bank pelaburan / Investment banks,876.5582497800001,0.35578773999999996,0.35578773999999996,0.0,0.35578773999999996,0.0,41.31147937,126.38455545,100.09542771,87.63160951999998,296.21371376,1528.5508233300006,0.0
2023-04-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,23.96360704,1244.2339121199998,284.37262059999995,3.8730028099999987,280.49961779,959.8612915199999,46.55378776999999,1953.4044915999993,4081.4831209100007,10412.906959129998,4114.138851380001,21876.81390159999,0.0
2023-04-01,Monthly,Jumlah / Total,5430.54560442,28919.718176549995,23387.263145099998,15412.462532559997,7974.800612539999,5532.45503145,7184.022536099998,122200.66897012999,21528.753796409997,157543.86033405,17452.36431311,360260.06290242006,584.3329243100002
2023-05-01,Monthly,Bank-bank perdagangan / Commercial banks,3663.7405690899986,20428.30282110998,17718.812011179984,11695.409630959986,6023.402380220003,2709.490809929999,5138.909378720001,80807.60482386,11744.519594399999,92573.34146679999,8653.824831560005,223010.24348553995,505.6415177799997
2023-05-01,Monthly,Bank-bank Islam / Islamic banks,927.8792791799999,7683.08072232,5637.01064824,3866.93455155,1770.0760966899998,2046.0700740799996,1965.0799274499998,39999.13207133,5751.808725870001,56218.13426802005,4517.3207188999995,117062.43571306996,50.65398989999998
2023-05-01,Monthly,Bank-bank pelaburan / Investment banks,877.2743765999995,0.35860707,0.35860707,0.0,0.35860707,0.0,41.224061049999996,125.59367667999999,111.844477,90.01893257999998,294.29905991,1540.6131908900002,0.0
2023-05-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,42.47175584,1260.18908059,298.45443534999987,3.8284989400000002,294.6259364099999,961.73464524,46.10448109,1953.3794143199998,4094.570241470001,10431.291538500005,4066.696373460001,21894.826459950007,0.0
2023-05-01,Monthly,Jumlah / Total,5511.3659807099975,29371.931231089984,23654.63570183999,15566.172681449985,8088.4630203900015,5717.295529249999,7191.317848309999,122885.70998619,21702.743038739998,159312.78620590005,17532.140983830006,363508.1188494499,556.2955076799998
2023-06-01,Monthly,Bank-bank perdagangan / Commercial banks,3675.948494769999,20588.792166559997,17863.227089499997,11820.167753189995,6043.0593363100015,2725.5650770600005,5147.326722709999,81528.09691222999,11962.42903243,93252.16810588013,8519.70030594,224674.46174051982,445.0933216200002
2023-06-01,Monthly,Bank-bank Islam / Islamic banks,900.1495429099999,7820.245193429999,5756.201562249999,3950.9902262399996,1805.2113360099993,2064.0436311799995,1972.79753374,40470.8578567,5990.465697259996,57521.87858931004,4547.953923430002,119224.34833678004,55.50675126999999
2023-06-01,Monthly,Bank-bank pelaburan / Investment banks,881.2427603900001,0.34841194,0.34841194,0.0,0.34841194,0.0,41.12105274,119.01306262,117.46559419000002,90.29472802000001,294.79237211000003,1544.2779820099995,0.0
2023-06-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,42.23529657000001,1272.2906609599995,302.9319851399999,3.6991218700000004,299.2328632699998,969.3586758199998,45.81434378,1944.36673458,4092.9998685,10677.071091059997,3985.9871567100004,22060.886118280006,0.0
2023-06-01,Monthly,Jumlah / Total,5499.5760946400005,29681.67643289,23922.70904883,15774.857101299995,8147.851947530002,5758.967384060001,7207.05965297,124062.33456612998,22163.36019238,161541.41251427014,17348.433758190004,367503.9741775899,500.60007289000015
2023-07-01,Monthly,Bank-bank perdagangan / Commercial banks,3692.7671577200003,20683.22809117,17986.950458919997,11914.430187389999,6072.520271529999,2696.277632250001,5141.458609379999,81482.43478345001,12210.499981949997,92922.67712598003,8507.56506603,224640.6308156798,508.8317551400001
2023-07-01,Monthly,Bank-bank Islam / Islamic banks,896.6593776599997,7914.12105514,5843.508152350001,4019.0602706200016,1824.4478817299998,2070.612902789999,1963.9730851799998,40742.82205971,6036.83175354,58701.58226534997,4401.222174719999,120657.21177129993,63.722396479999986
2023-07-01,Monthly,Bank-bank pelaburan / Investment banks,936.2617973500003,0.38854364,0.38854364,0.0,0.38854364,0.0,41.02771187,118.30414428,121.82980520000002,88.02250731000001,293.42565725,1599.2601668999994,0.0
2023-07-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,41.927423729999994,1286.4059190100004,316.59519601000005,3.653897789999999,312.94129822,969.8107230000004,45.691743599999995,1948.7506120699998,4108.73186087,10864.946171029997,3925.774922739999,22222.347015700012,0.0
2023-07-01,Monthly,Jumlah / Total,5567.615756459999,29884.143608960003,24147.442350920002,15937.144355800003,8210.29799512,5736.70125804,7192.1511500299985,124292.31159950998,22477.893401559995,162577.22806966997,17127.98782074,369119.4497695798,572.5541516200001
2023-08-01,Monthly,Bank-bank perdagangan / Commercial banks,3609.3988614900004,20780.006745440012,18083.753744200014,12023.398679810012,6060.355064390002,2696.253001240001,5126.88491984,81798.98706366004,12242.649695760001,92117.55220521991,8559.34397675,224234.82346815968,385.98578433
