date,frequency,outstanding_total_abs,outstanding_household_abs,outstanding_business_abs,outstanding_private_non_financial_abs,credit_total_abs,credit_business_abs,outstanding_total_yoy,outstanding_household_yoy,outstanding_business_yoy,outstanding_private_non_financial_yoy,credit_total_yoy,credit_business_yoy
2024-03-01,Monthly,2191074.035932014,1403681.0109904902,787393.0249415203,572798.27166591,2763872.307597924,1360191.2966074303,5.841678449684751,6.196853527706736,5.2143676762792746,3.2404206763876564,5.291869019195028,4.373980002447286
2024-04-01,Monthly,2194219.582174579,1408502.6322525812,785716.9499220002,574819.0250733299,2769038.607247909,1360535.97499533,6.04082391954317,6.2278490406408205,5.707199627295179,3.3587726018663444,5.472675470577393,4.70210662350008
2024-05-01,Monthly,2200168.120863187,1414523.4885318677,785644.6323313199,577842.67655948,2778010.797422667,1363487.3088908,5.784674285226266,6.257276505609877,4.944286191022362,4.005790006819332,5.409661320826875,4.544493664774896
2024-06-01,Monthly,2213239.6174013847,1420970.5414887709,792269.0759126205,580850.8788627,2794090.4962640847,1373119.9547753204,6.081929973861655,6.207483714779438,5.857485724749512,3.440275119582026,5.521717927970338,4.8213166960380915
2024-07-01,Monthly,2219247.6782866865,1428269.986610259,790977.6916764294,581343.4933668099,2800591.1716534966,1372321.1850432393,6.216909449728036,6.269740916351907,6.121644511162749,2.640527440835516,5.454177540177096,4.618552696666911
2024-08-01,Monthly,2228308.6138813994,1437281.92778313,791026.68609827,581914.05320495,2810222.6670863493,1372940.73930322,5.935580524682171,6.245868445555747,5.376406443924342,2.8457095548978018,5.280611626474174,4.288733317321536
2024-09-01,Monthly,2239181.1896482636,1444529.8096025318,794651.3800457304,582406.4097467699,2821587.5993950334,1377057.7897925004,5.626131425490333,6.125090849868786,4.731029698680289,2.143306354314589,4.887921571635023,3.620759500065729
2024-10-01,Monthly,2252499.7150649694,1452848.0149490803,799651.7001158913,588116.55318079,2840616.2682457594,1387768.2532966812,5.852624974492127,6.055425738594189,5.486144001430526,2.6231001407399646,5.167412092956347,4.2535496392950956
2024-11-01,Monthly,2265755.405925281,1460666.6435857797,805088.7623394999,594185.713243,2859941.1191682806,1399274.4755825,5.835329119905119,5.999901493412141,5.538047626654197,3.8481207078996604,5.416229403834327,4.813766939715647
2024-12-01,Monthly,2284867.460170329,1468607.6519319706,816259.8082383604,593109.57440462,2877977.034574949,1409369.3826429804,5.651914273837666,5.921712156696168,5.1699414499790874,3.429918043123914,5.186217119007019,4.430597074800469
2025-01-01,Annual,2398941.830983283,1550938.1739121985,848003.6570710792,633942.50746519,3032884.3384484733,1481946.1645362694,4.992603413611141,5.606025671452897,3.8889393441075892,6.884551324527055,5.382506601426118,5.1495926324996555
2025-01-01,Monthly,2292389.7126260707,1477738.3712050307,814651.3414210412,592155.49930735,2884545.211933421,1406806.8407283912,5.687960260654945,5.9928733209870355,5.139316701498675,3.608256431808421,5.254244542986908,4.489379542872629
2025-02-01,Monthly,2297960.8655681615,1482270.8101276301,815690.0554405288,593584.1954814099,2891545.0610495713,1409274.2509219386,5.43951595934602,6.023386418069765,4.394805104139121,3.8371691568922506,5.106560708620078,4.1592012582091
