date,frequency,sector,agriculture_forestry_and_fishing,mining_and_quarrying,manufacturing,electricity_gas_steam_and_air_conditioning_supply,water_supply_sewerage_waste_management_and_remediation_activities,construction,wholesale_retail_motor_trade_total,wholesale_trade_except_of_motor_vehicles_and_motorcycles,retail_trade_except_of_motor_vehicles_and_motorcycles,wholesale_retail_motor_trade_others,accommodation_and_food_service_activities,transportation_storage,information_communication,financial_and_insurance_takaful_activities,real_estate_activities,professional_scientific_and_technical_activities,administrative_and_support_service_activities,education_health_and_others,other_sector,total_outstanding_loan_financing
2022-05-01,Monthly,Bank-bank pelaburan / Investment banks,0.97086297,59.83307623,45.5641074,13.86308929,14.082662220000001,32.692112429999995,18.04081454,15.341215989999998,2.6995985499999997,0.0,50.41663528,2.3521424900000003,21.381240909999995,311.6361466099999,245.90415389999998,508.58171307,20.29976966,178.82474902,31.62393821000046,1556.0672142300002
2022-05-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,2904.3348957800004,65.24854063999999,2177.1968507399997,81.09585935,49.39319252000001,5231.3863380699995,3263.899157030001,1629.7534412800003,1137.75475882,496.3909569300008,1475.9913519499999,881.5371450499999,306.27301707,256.8525788800002,601.07959575,394.65267131,325.98692690999997,1296.6122316199999,215.9401353300018,19527.480488000005
2022-05-01,Monthly,Jumlah / Total,12913.564417489995,1589.0156465199998,51377.29134019001,2935.76489998,1951.4570586000004,45006.96022906001,97645.13301468,57340.31586834999,24889.33339898,15415.483747350008,11103.89222393,13371.16629262,4352.3123915900005,7019.0583402699995,56741.93722334998,17744.058055949998,5353.508996060001,11748.47953064,1017.0948025393882,341870.6944634694
2022-06-01,Monthly,Bank-bank perdagangan / Commercial banks,5700.2163193900005,973.2921838200001,34336.8506751,1164.7389122999998,1225.5501843000002,27824.74665019,65887.71849673,39866.64548715,15797.50246629,10223.57054329,7848.944379680001,8305.748426760003,2489.2676743300003,4774.63901997,39957.41866296999,10104.029488919998,3016.81231776,5885.311584190001,500.1291658494738,219995.41414225945
2022-06-01,Monthly,Bank-bank Islam / Islamic banks,4404.385391860002,483.08395744,15353.701761220002,1584.7828736299998,641.22236358,12325.34874531,29529.456298450008,16309.040144940007,8180.700110960001,5039.716042550001,1717.2192748599998,4578.002390580001,1637.43653244,1810.7650542500003,16330.097414330003,6569.076309519998,2037.2949217799999,4376.829804939999,267.5035303399345,103646.20662452995
2022-06-01,Monthly,Bank-bank pelaburan / Investment banks,0.75459672,57.59636445,44.397175919999995,13.972374929999999,13.99480586,28.939479189999993,18.499313759999996,15.78708936,2.7122243999999998,0.0,51.87825214000001,1.07891899,21.42214192,323.17675011999995,236.99478538,502.94694592,13.71978297,179.11692190000002,46.5899351500002,1555.0785453200003
2022-06-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,2916.0147507000006,67.71731982000001,2166.90632243,80.56516265,49.141769780000004,5221.522921810001,3344.6522701500003,1676.5222237200003,1165.0247996199996,503.10524681000015,1498.9363893700001,838.33422702,326.0317533,262.69799665,612.19346593,396.40207965,335.6664750499999,1285.36436146,215.52283330000137,19617.67009907
2022-06-01,Monthly,Jumlah / Total,13021.371058670004,1581.6898255300002,51901.85593467001,2844.0593235099996,1929.90912352,45400.55779650001,98780.32637909,57867.994945170016,25145.939601269998,15766.391832649984,11116.97829605,13723.163963350002,4474.1581019899995,7171.27882099,57136.704328609994,17572.454824009998,5403.493497560001,11726.622672490003,1029.745464639389,344814.36941117933
2022-07-01,Monthly,Bank-bank perdagangan / Commercial banks,5564.7450323699995,915.47025057,34192.47016306999,1159.90314228,1176.0289582399998,27619.318792519996,67040.02707919,41165.15503359,15284.635108030001,10590.236937569993,7860.134493050001,8286.526659729998,2572.0878196099993,4618.853431910003,40363.819910139995,8794.15599816,3351.18080187,5534.672516940001,495.3313846991514,219544.72643434914
2022-07-01,Monthly,Bank-bank Islam / Islamic banks,4371.143765589998,478.5640302,15520.988392869996,1786.1728099999996,642.5043235899999,12582.01997666,29937.314326190004,16571.05426405,8254.8663811,5111.393681040005,1745.0292254800002,4641.982923639999,1621.9939049199997,1757.0409494700002,16442.48115067,6366.18062886,2135.51063511,4202.52421854,274.7313702001411,104506.18263199013
