date,frequency,usd_rm_spot,usd_rm_swap,bank_of_interbank_transactions_in_the_foreign_exchange_market_usd_rm_total,usd_sgd_spot,usd_sgd_swap,bank_of_interbank_transactions_in_the_foreign_exchange_market_usd_sgd_total,usd_jpy_spot,usd_jpy_swap,bank_of_interbank_transactions_in_the_foreign_exchange_market_usd_jpy_total,gbp_usd_spot,gbp_usd_swap,bank_of_interbank_transactions_in_the_foreign_exchange_market_gbp_usd_total,usd_spot,usd_swap,bank_of_interbank_transactions_in_the_foreign_exchange_market_usd_total,usd_spot_1,usd_swap_1,bank_of_interbank_transactions_in_the_foreign_exchange_market_rm_million_total
2006-08-01,Monthly,33043.73709341284,37603.82400758785,70647.5611010007,1668.878891202936,3463.7690490023037,5132.64794020524,2765.162191976016,0.0,2765.162191976016,601.1842715423999,6.9436852799999995,608.1279568223998,1175.062284144,16.34625594,1191.408540084,0.0,0.0,0.0
2006-09-01,Monthly,32037.17846925011,33042.446758,65079.62522725011,1162.6141437209972,0.0,1162.6141437209972,3945.579161462198,0.0,3945.579161462198,430.88678816015994,0.0,430.88678816015994,1680.9564472576199,0.0,1680.9564472576199,11.2768468,0.0,11.2768468
2006-10-01,Monthly,32932.34266120223,23806.221913880552,56738.56457508278,909.7046201650106,294.2900641091562,1203.994684274167,4239.740656405496,36.2897264054964,4276.030382810993,539.2387913482561,0.0,539.2387913482561,1568.1906607052401,0.0,1568.1906607052401,8.8815690179714,0.0,8.8815690179714
2006-11-01,Monthly,33417.89349433699,32449.30616,65867.19965433699,1650.4649577462144,411.0019287509664,2061.466886497181,2990.8429813551425,0.0,2990.8429813551425,534.7245379344,10.4506424352,545.1751803696001,2455.83351021824,0.0,2455.83351021824,11.295904,0.0,11.295904
2006-12-01,Monthly,33234.41228700001,20498.490192,53732.90247900001,810.9255361054674,0.0,810.9255361054674,2693.6479679999998,0.0,2693.6479679999998,319.52247955716007,0.0,319.52247955716007,861.2117345227441,0.0,861.2117345227441,0.5825779683552,0.0,0.5825779683552
2007-01-01,Annual,679512.2163697622,476777.32248926535,1156289.5388590277,23464.4926075596,176.68672852089017,23641.17933608049,28929.340704574708,0.0,28929.340704574708,14329.227371387655,0.0,14329.227371387655,17232.213054454634,0.0,17232.213054454634,770.1740591756644,0.0,770.1740591756644
2007-01-01,Monthly,37934.655960768134,27801.303038475322,65735.95899924345,1302.6748100018688,0.0,1302.6748100018688,2862.0989637524926,0.0,2862.0989637524926,900.5603970110412,0.0,900.5603970110412,1290.5783271198718,0.0,1290.5783271198718,2.2441518300095997,0.0,2.2441518300095997
2007-02-01,Monthly,42267.05481157584,26304.0762,68571.13101157584,1176.174987917303,125.37131681198159,1301.5463047292847,2463.4589794739404,0.0,2463.4589794739404,1168.164247132736,0.0,1168.164247132736,1625.7260706136158,0.0,1625.7260706136158,48.95408,0.0,48.95408
2007-03-01,Monthly,54148.84223693241,39597.80005410484,93746.64229103725,2138.1684490151606,0.0,2138.1684490151606,3056.5720042000003,0.0,3056.5720042000003,825.8120683444174,0.0,825.8120683444174,721.6674718588681,0.0,721.6674718588681,254.96830908381588,0.0,254.96830908381588
2007-04-01,Monthly,47284.46936185935,41231.97272657151,88516.44208843086,1191.894726895317,0.0,1191.894726895317,1951.29771432147,0.0,1951.29771432147,839.5960022192019,0.0,839.5960022192019,1178.99026119,0.0,1178.99026119,422.459495933985,0.0,422.459495933985
