date,frequency,bank_negara_malaysia_statement_of_capital_and_liabilities,paid_up_capital,reserves,currency_in_circulation,financial_institutions,federal_government,deposits_others,bank_negara_bills_and_bonds,allocation_of_special_drawing_rights,other_liabilities,total_liabilities
2007-09-01,Monthly,,100,,41616.625943,188488.354694,28203.039064,3884.912347,70851.512734,734.844625,47731.432885,415125.988368
2007-10-01,Monthly,,100,,39729.52401,198040.430438,29835.51046,3961.600707,71447.001218,734.844625,46497.600716,423861.77825
2007-11-01,Monthly,,100,,40640.465076,199838.999899,30383.454615,5087.624893,73948.418066,734.844625,48729.636664,432978.709914
2007-12-01,Monthly,,100,,42192.729256,231591.665147,14274.46201,2819.726945,69009.960464,726.822946,34518.924334,424881.410206
2008-01-01,Monthly,,100,,47050.327082,237319.416848,11867.08969,4607.677151,71010.520695,726.822946,52892.360918,450060.698612
2008-01-01,Annual,,100,,48042.855068,184136.298017,11155.942757,373.848344,43710.213247,742.639517,24604.565308,344522.320449
2008-02-01,Monthly,,100,,45886.684665,265116.369247,12160.355594,4180.901719,80419.677495,726.822946,51418.261966,484489.0449
2008-03-01,Monthly,,100,,44810.990475,277022.274226,7592.946148,3788.569356,90398.84598,728.980831,42777.709146,491220.07486
2008-04-01,Monthly,,100,,43849.507975,287438.599853,9356.721447,3617.959195,94283.912719,728.980831,43005.817894,506381.417851
2008-05-01,Monthly,,100,,44442.628745,269774.410895,13327.753197,3463.114813,102683.679926,728.980831,43988.067419,502508.553763
2008-06-01,Monthly,,100,,44903.763692,268410.097378,11508.832976,3431.33034,95533.884996,741.866271,37558.891747,498916.103775
2008-07-01,Monthly,,100,,44280.047207,276540.616914,5462.60366,3486.71548,79279.575987,741.866271,38384.903913,485003.765807
2008-08-01,Monthly,,100,,46767.755741,239578.908392,10413.505381,3423.93424,72804.183726,741.866271,40129.361265,450686.951391
2008-09-01,Monthly,,100,,51642.005407,199701.828349,9696.320536,3538.307176,75953.467719,740.593981,37889.978477,418523.762076
2008-10-01,Monthly,,100,,46595.122319,159340.99971,21622.286904,3448.55579,66948.351773,740.593981,36315.49069,374372.661598
2008-11-01,Monthly,,100,,46401.692641,176215.644964,23817.472829,387.668332,45183.938821,740.593981,32445.711211,364553.98321
2008-12-01,Monthly,,100,,48042.855068,184136.298017,11155.942757,373.848344,43710.213247,742.639517,24604.565308,344522.320449
2009-01-01,Monthly,,100,,53251.788601,177026.211636,10238.997258,374.714178,51308.342822,742.639517,27461.370229,347147.352469
2009-01-01,Annual,,100,,51138.567538,181535.107207,18641.169858,1270.868081,33357.434443,7231.066765,21610.810087,362977.702692
