date,frequency,m3,m2,m1,currency_in_circulation,demand_deposits,narrow_quasi_money,savings_deposits,fixed_deposits,nids,repos,fx_deposits,other_deposits,deposits_placed_other_banking_inst
2014-12-01,Monthly,1557612.31459431,1544159.99998931,346415.85694931,68170.01586430999,278245.841085,1197744.14304,134931.368262,712239.578768,24707.607026999995,195.6604,96274.982815,229394.94576799995,13452.314604999963
2015-01-01,Monthly,1557187.6932472503,1545765.70036925,346300.43497325,71144.00664025,275156.42833300005,1199465.265396,137074.414281,715856.8315899998,25596.620524,0.0,97407.10340400001,223530.295597,11421.992878000252
2015-02-01,Monthly,1564038.1241608397,1552127.2033298402,351432.0498228401,74812.26859384,276619.7812290001,1200695.153507,139031.280948,724818.7973399999,24917.718404000003,46.134217,100710.443547,211170.77905100002,11910.920830999501
2015-03-01,Monthly,1592558.6701514302,1583077.52282843,360340.52635943005,72250.32838842999,288090.19797100005,1222736.996469,138643.702239,733497.156319,24275.184308,46.134217,111906.61738300002,214368.20200300004,9481.147323000245
2015-04-01,Monthly,1583131.69299332,1572159.3226243204,351905.53964632,72771.78518532001,279133.754461,1220253.7829780004,139692.922353,738167.1880230001,22210.688211000004,46.134217,109175.32375599998,210961.52641800002,10972.370368999662
2015-05-01,Monthly,1579862.42494391,1567577.17818791,352321.26072091004,73699.98512991,278621.27559100004,1215255.917467,133983.988055,741916.043662,20720.907424999998,145.767196,113030.046835,205459.164294,12285.246755999979
2015-06-01,Monthly,1584443.24096878,1574349.84007978,360586.34414978,72940.06450778,287646.279642,1213763.49593,136936.81588,736057.447353,18918.492707999998,0.0,112282.938063,209567.80192600001,10093.400888999924
2015-07-01,Monthly,1570074.16046867,1560912.98047467,347180.86542567,74174.23778867,273006.627637,1213732.115049,134986.290003,732152.310315,18437.336292,48.979685,120672.06576499998,207435.132989,9161.179994000122
2015-08-01,Monthly,1571522.27279629,1561341.62076029,351492.87933129,75403.93988629,276088.939445,1209848.741429,134708.04099,731961.432443,15567.978225,93.113107,127818.435328,199699.741336,10180.652036000043
2015-09-01,Monthly,1593104.17218926,1581305.81731726,357983.88368626003,75062.00373626,282921.87995000003,1223321.9336309999,136575.553946,734050.658765,13529.444723,46.541609,136562.152333,202557.582255,11798.354871999938
2015-10-01,Monthly,1585169.9641837003,1575491.5711207,351276.1414597,75818.09391669999,275458.047543,1224215.4296610001,135331.498382,737502.460239,12987.151740000001,0.0,139236.603555,199157.71574500002,9678.39306300017
2015-11-01,Monthly,1592321.53120152,1583959.7534515199,352369.04980552004,75743.25727552001,276625.79253000004,1231590.7036459998,134484.40464999998,733858.5457279999,12341.928832000001,0.0,147502.71727999998,203403.10715599998,8361.777750000125
2015-12-01,Monthly,1603938.03518889,1595853.7572998903,360502.94251989,76913.66633389,283589.27618600003,1235350.8147800001,135590.665853,742794.0689330001,12596.701023,0.0,145790.022104,198579.35686700002,8084.277888999786
2016-01-01,Monthly,1597275.3067142998,1587778.9943163,363454.2701183,81816.4368733,281637.833245,1224324.724198,136539.890149,735670.6878889999,10760.636057,0.0,137183.29384000003,204170.216263,9496.312397999922
