date,frequency,m3_total,net_claims_on_gov_total,claims_on_gov,gov_deposits,claims_on_private_sector_total,loans,securities,net_foreign_assets_total,bnm,banking_system,other_influences
2017-03-01,Monthly,1688301.1061160099,152062.91171609997,204442.87237967996,52379.960663579994,1675968.1379573,1493934.5823883,182033.55556900005,504738.5328408799,414021.8342304,90716.69861047996,-644468.4763982701
2017-04-01,Monthly,1685054.6373759801,148187.58649763,205171.32098377,56983.734486140005,1677362.7616572801,1493793.4962172802,183569.26544000002,514647.32024345995,417038.7292989799,97608.59094448003,-655143.03102239
2017-05-01,Monthly,1698856.22484555,146061.95504655,207125.0697584,61063.11471185001,1683154.5031298397,1496777.0403078396,186377.462822,523561.3766733699,425179.7722508899,98381.60442247998,-653921.6100042094
2017-06-01,Monthly,1693309.8436439496,146214.04565639002,206072.15452515002,59858.10886876,1691434.7939395101,1505167.3078905102,186267.48604900003,505968.82145519997,416720.16739971994,89248.65405548002,-650307.8174071505
2017-07-01,Monthly,1688904.87805021,138453.41145279998,210397.64114651,71944.22969371,1695147.2792633702,1505883.3113273701,189263.96793599997,514192.78493707994,418929.8800206,95262.90491647995,-658888.5976030403
2017-08-01,Monthly,1698970.3431681602,137203.96674983998,210102.60611244998,72898.63936261,1701311.8057178997,1512874.3222608997,188437.483457,518517.87717575,423552.08464127,94965.79253447996,-658063.3064753294
2017-09-01,Monthly,1715771.0848531201,133000.25955831,199584.16052188,66583.90096356999,1708490.2180831502,1515221.31946115,193268.898622,527884.30046207,419613.66290159,108270.63756048003,-653603.6932504104
2017-10-01,Monthly,1727341.8780788905,139088.99411363,195864.65983277,56775.66571913999,1717503.6736286697,1515945.0930896697,201558.580539,533669.0332579799,420802.39266449993,112866.64059348003,-662919.8229213891
2017-11-01,Monthly,1732984.3070308706,134284.44418459001,188958.58106827,54674.136883679996,1722416.5198121206,1520724.3947061205,201692.12510600005,539332.0083916899,422277.69775520987,117054.31063647996,-663048.6653575302
2017-12-01,Monthly,1736444.6808185403,129823.75600892,186671.37615967,56847.62015075001,1745090.64794368,1537000.51104568,208090.13689800003,517269.43748208997,406832.00541061006,110437.43207147993,-655739.1606161499
2018-01-01,Monthly,1750433.7197201697,119355.26755615996,188000.74668350996,68645.47912735,1755958.36221335,1545343.96793735,210614.39427599998,536336.49691839,411862.26756591006,124474.22935247998,-661216.4069677305
2018-02-01,Monthly,1759285.5490387902,124661.50473844,189309.45882143,64647.95408298999,1760250.7680294302,1549704.2881284303,210546.47990099998,532485.74843239,411718.89348590997,120766.85494648003,-658112.47216147
2018-03-01,Monthly,1791436.16468931,123374.72309148003,187872.41515289003,64497.692061409994,1772121.6715995003,1557373.3936955004,214748.27790400002,539135.6642473501,408790.28252287,130345.38172448002,-643195.8942490207
2018-04-01,Monthly,1814046.8904720098,125618.08444738999,200275.48996823,74657.40552084,1823248.5008719398,1595915.0383019398,227333.46256999997,553368.24866144,415461.95755596,137906.29110548002,-688187.9435087602
2018-05-01,Monthly,1815985.6619323103,138170.79459964,211840.30006647002,73669.50546683,1826278.73332544,1600896.10831844,225382.625007,538645.2705647,411360.34677822003,127284.92378647995,-687109.1365574698
2018-06-01,Monthly,1818539.26863052,144612.12462075998,220256.30412994997,75644.17950919001,1840215.5109503502,1609171.51139035,231043.99956000003,528715.3891226,415678.64636612,113036.74275647997,-695003.7560631898
2018-07-01,Monthly,1823494.6389244902,143703.61621921998,226728.678539,83025.06231978,1849097.89408055,1615737.18070755,233360.71337299998,528167.3984221701,415124.7513646901,113042.64705747999,-697474.2697974498
2018-08-01,Monthly,1831254.0664328993,142979.51270642,226730.58529112002,83751.07258470001,1864237.99709655,1625542.71328255,238695.28381400005,520504.51632334007,414787.71115186,105716.80517148004,-696467.9596934106
2018-09-01,Monthly,1845007.2359624906,157540.56569164997,229066.09457088998,71525.52887924,1860860.97483539,1623291.28206639,237569.69276900004,528160.31201459,419158.27145411004,109002.04056047999,-701554.6165791396
2018-10-01,Monthly,1871644.7424249402,167074.59183316003,232377.08826434004,65302.49643118,1870459.2511398,1629128.5355858,241330.715554,525983.42649578,413677.9797643,112305.44673148001,-691872.5270437999
2018-11-01,Monthly,1882099.71140033,179436.83422725,243820.70766535,64383.87343810001,1880853.4467406604,1637066.3561326603,243787.09060800006,524713.6373777,415013.64376421995,109699.99361348002,-702904.2069452801
2018-12-01,Monthly,1894517.21814177,183633.99034535995,249183.70391132997,65549.71356597001,1892469.5636992003,1645783.7220732002,246685.841626,522402.49113355,411768.06699207,110634.42414148,-703988.8270363401
2019-01-01,Monthly,1888709.0169753404,183717.05220423,257948.23924317,74231.18703894,1902276.4567993004,1651509.5965863003,250766.86021299998,519994.92117691005,414521.25338443,105473.66779248003,-717279.4132051001
2019-02-01,Monthly,1888563.9636501898,180583.10743304002,257022.23337683003,76439.12594379002,1902667.25949987,1650269.4000798701,252397.85941999996,523053.2759522,415444.70398972003,107608.57196247998,-717739.6792349201
2019-03-01,Monthly,1898874.07010358,173613.62047783998,260010.60872363,86396.98824579001,1911823.2845220598,1658838.9642670597,252984.32025500003,527362.80608107,412535.02635559003,114827.77972547998,-713925.6409773899
2019-04-01,Monthly,1909451.74930052,188260.55253521996,265061.98186147,76801.42932625001,1912211.5229038498,1660276.8302768497,251934.69262700004,525325.8140349999,414195.99860151997,111129.81543347999,-716346.1401735499
2019-05-01,Monthly,1917074.12862908,190923.22797541,274593.68162259,83670.45364718,1919004.4135260899,1666747.6602220898,252256.753304,517934.6450214699,409679.4245959899,108255.22042548,-710788.1578938897
2019-06-01,Monthly,1912073.7883280301,176521.76071503002,271666.36459546,95144.60388042999,1925699.1838105302,1672568.8590265303,253130.324784,528008.5257338299,417643.87571334996,110364.65002048001,-718155.6819313603
2019-07-01,Monthly,1913308.4505295504,172713.21959473,267434.85054681,94721.63095208,1930036.77776934,1672490.55987834,257546.21789099995,533604.31300772,422555.08051924,111049.23248848002,-723045.8598422396
2019-08-01,Monthly,1908652.52297065,171391.60440874,271031.28418634,99639.67977759999,1933061.99531624,1681772.4106992402,251289.58461699996,522470.1062066201,420924.73800614005,101545.36820048004,-718271.1829609501
2019-09-01,Monthly,1916354.0407856596,177583.57573105,273255.3868965,95671.81116545001,1944216.89820704,1689524.99445204,254691.903755,509126.87469409005,423527.55882361,85599.31587048002,-714573.30784652
2019-10-01,Monthly,1934741.9214318595,187579.33964803,271825.80809816,84246.46845013,1948971.6498826398,1694709.0209846399,254262.628898,514536.0091178,424439.64408332,90096.36503448,-716345.0772166097
2019-11-01,Monthly,1934899.6563546997,184350.7670775699,265971.78421345993,81621.01713589001,1960488.9163066302,1702958.2555266302,257530.66078,515764.04934351007,424250.69651203003,91513.35283148,-725704.0763730103
2019-12-01,Monthly,1961553.8701222101,194584.14651805,256438.29656348,61854.15004543,1976462.7471720001,1715637.4018130002,260825.345359,521814.02628506004,423780.63663458003,98033.38965048,-731307.0498529003
2020-01-01,Monthly,1961429.7159558395,198000.18877734,262586.03839734,64585.84962000001,1976134.1932990903,1714819.4575690902,261314.73573,521354.25069258,418596.6780191,102757.57267348001,-734058.9168131704
2020-02-01,Monthly,1958708.0511821103,202968.59403415996,279301.13203529996,76332.53800114,1984279.84324748,1719264.20200048,265015.641247,510238.84924302,415621.27692254,94617.57232048003,-738779.2353425497
2020-03-01,Monthly,1968374.9538500102,218437.08172954997,288585.96716645994,70148.88543690999,1986926.85373504,1726193.34626704,260733.50746799997,512340.9670561801,432124.72040270007,80216.24665348005,-749329.94867076
2020-04-01,Monthly,1994098.5670254608,252669.43325101992,315819.17425278993,63149.74100177,1989095.3741051601,1727146.51948516,261948.85462,534975.80330396,435784.56308348,99191.24022048002,-782642.0436346796
2020-05-01,Monthly,2006707.62050846,249677.62170991,318444.67496863997,68767.05325873,1997015.54929885,1731694.00368885,265321.54561,538635.21856126,437838.30063378,100796.91792748004,-778620.76906156
2020-06-01,Monthly,2019910.7950384591,244891.65344595,324022.37755122,79130.72410527,2005484.3870316502,1741095.3553606502,264389.031671,542868.41419506,435106.92324458,107761.49095048002,-773333.6596342006
2020-07-01,Monthly,2029667.981695761,257387.11122462,338314.24686708,80927.13564246,2015380.9990169602,1745028.20460396,270352.79441300005,550356.08717312,438374.24015764,111981.84701547999,-793456.2157189396
2020-08-01,Monthly,2031377.1454247592,254073.63292719997,327520.706348,73447.0734208,2025047.3119556303,1754153.0317316302,270894.280224,553779.56119758,438882.23993609997,114897.32126148001,-801523.3606556507
2020-09-01,Monthly,2038661.56848101,251115.93694376998,333477.25516435,82361.31822058,2032507.9237023997,1762188.3734843999,270319.55021799996,535191.77407523,428535.58285074995,106656.19122448002,-780154.0662403897
2020-10-01,Monthly,2036415.85328786,250867.91837937006,327998.00056089007,77130.08218152,2038805.63055394,1764821.72362994,273983.90692399995,528293.57008014,426935.44349166,101358.12658848,-781551.26572559
2020-11-01,Monthly,2035491.7150932692,253941.08798491,323468.56150575,69527.47352084001,2038086.6063074297,1763852.8846024298,274233.72170500003,530231.6778895,429582.72857602005,100648.94931348004,-786767.6570885701
2020-12-01,Monthly,2040993.8956126096,252804.11663499003,323610.25839774,70806.14176275,2046171.1488975298,1769764.0465905298,276407.10230699996,525605.20213976,424524.41765927995,101080.78448048003,-783586.5720596701
2021-01-01,Monthly,2045652.1371940202,254639.53248572993,331951.3174135999,77311.78492787,2050798.0149658602,1774536.13141586,276261.88355,524075.8345898801,428738.99217140005,95336.84241848004,-783861.24484745
2021-02-01,Monthly,2058351.8305820203,253462.6419114301,331657.2523941701,78194.61048274,2052104.3528933101,1777241.0831473102,274863.26974600006,526219.03611911,430069.61426663,96149.42185247998,-773434.2003418299
2021-03-01,Monthly,2088401.61568222,257414.98937090999,333874.11080142,76459.12143051001,2063663.0511672203,1790692.9541932202,272970.096974,542634.75003399,442937.40335450997,99697.34667948002,-775311.1748899003
2021-04-01,Monthly,2078978.51204807,262190.33566758,339314.64132497,77124.30565739,2060502.8350391297,1791297.1511011298,269205.68393799994,544089.0726578999,451698.88318942,92390.18946848,-787803.7313165397
2021-05-01,Monthly,2082749.6241640202,251487.7780704601,342450.2340668501,90962.45599639,2067303.5800394504,1796705.5595904505,270598.020449,548845.2478885701,452681.36027709,96163.88761148005,-784886.9818344606
2021-06-01,Monthly,2087879.4582500702,256327.76107231,353267.57266254,96939.81159023,2069964.45268193,1797884.44301693,272080.00966499996,550476.23958245,453516.90589297004,96959.33368948002,-788888.9950866199
2021-07-01,Monthly,2106362.07319396,262273.10733384,354822.20227194997,92549.09493811,2076241.1122224103,1798609.2534734104,277631.858749,561543.9578170599,453797.43201357994,107746.52580348004,-793696.1041793503
2021-08-01,Monthly,2104909.829143611,263817.74289680005,358155.90936900006,94338.1664722,2075968.401490101,1796493.0116551009,279475.389835,572180.8009549001,454697.17947542004,117483.62147948002,-807057.1161981907
2021-09-01,Monthly,2133618.8665339407,277766.5259260299,360372.0184726599,82605.49254663,2090634.7037693702,1811630.5541633703,279004.149606,570130.38514259,454005.45909911004,116124.92604347998,-804912.7483040497
2021-10-01,Monthly,2130024.1270335405,270312.08929968,358743.19464448,88431.1053448,2101647.6025510803,1824301.9182230802,277345.684328,565421.9911922601,457697.90399278,107724.08719948,-807357.5560094803
2021-11-01,Monthly,2162302.229651939,286576.1262450899,361978.54245993996,75402.41621485,2118264.32902244,1839834.8205644402,278429.508458,570803.80909012,460457.51147464005,110346.29761548003,-813342.0347057105
2021-12-01,Monthly,2171798.67048355,282939.59711591,363042.04002687,80102.44291095999,2123706.23894693,1849368.65751193,274337.581435,575638.35136064,458640.69460616,116997.65675448003,-810485.5169399304
2022-01-01,Monthly,2178879.6026096996,287424.764583,368209.69669295,80784.93210995001,2133024.60201358,1859101.3965365798,273923.20547700004,562233.6517955901,455472.66941811005,106760.98237747999,-803803.4157824705
2022-02-01,Monthly,2197890.60032841,288068.32479880995,374876.44796326995,86808.12316446,2136958.52582056,1863494.65491756,273463.870903,576515.5817311101,454058.50825063,122457.07348048006,-803651.8320220697
2022-03-01,Monthly,2203024.2355740797,300141.08222091,377924.7379153,77783.65569438999,2146724.2851484604,1872270.7244614605,274453.560687,556106.38723915,457655.42277467,98450.96446448,-799947.5190344409
2022-04-01,Monthly,2214987.72994838,308117.71926437004,381577.67388828006,73459.95462391,2152385.16341998,1881971.40825898,270413.755161,546133.7561503301,444423.93083985,101709.82531048005,-791648.9088863002
2022-05-01,Monthly,2226588.357649349,314123.94256761007,391654.04705988005,77530.10449226998,2157416.5148851695,1886470.6304651697,270945.88442,546436.5725064401,446044.70176796004,100391.87073848,-791388.6723098705
2022-06-01,Monthly,2225258.6098316004,314739.3028039401,399822.54967529007,85083.24687135,2169311.7692174907,1900157.3176684906,269154.451549,551644.48359629,451783.83101881004,99860.65257747998,-810436.9457861204
2022-07-01,Monthly,2222146.50545537,309123.04612778005,397450.05804955005,88327.01192177001,2139182.982778368,1874049.150309368,265133.832469,553145.04420495,452460.21288313,100684.83132181998,-779304.567655728
2022-08-01,Monthly,2241310.60336446,303109.3114194701,401820.8841436301,98711.57272415998,2160509.0600584196,1885516.9452094198,274992.114849,555249.7920488701,448191.4334141901,107058.35863468001,-777557.5601622998
2022-09-01,Monthly,2254815.67722914,303059.53758627997,410073.07532648,107013.5377402,2169941.5348060275,1896182.9855860276,273758.54922000004,568869.96477277,463169.9977488,105699.96702396998,-787055.3599359374
2022-10-01,Monthly,2257146.3350251997,310880.86338781996,409768.55122748995,98887.68783966999,2184393.777142299,1907198.6169892987,277195.160153,571201.2421086099,459026.85208772996,112174.39002087995,-809329.547613529
2022-11-01,Monthly,2257943.941070889,319890.67117313005,413084.61861051,93193.94743738,2193094.5177290193,1912655.8531890195,280438.66453999997,577055.0656977401,480256.6443442401,96798.42135349999,-832096.3135290004
2022-12-01,Monthly,2265666.77939464,324845.85171421,410680.52030787,85834.66859366001,2204613.108431101,1926876.2074541007,277736.900977,564308.2291465001,475059.71322137,89248.51592513005,-828100.409897171
