date,frequency,m3_total,transaction_balances,currency_in_circulation,demand_deposits,broad_quasi_money,savings_deposits,fixed_deposits,nids,repos,fx_deposits,other_deposits
2023-11-01,Monthly,2361524.1463860003,619394.850967,147496.696138,471898.154829,1742129.295419,225809.052429,1020151.93022,547.142709,0.0,270431.594797,225189.57526400004
2023-12-01,Monthly,2402067.8938329997,632800.613897,149140.39887600002,483660.21502099995,1769267.2799359998,226052.278609,1026994.667711,769.0038610000001,0.0,272748.144312,242703.185443
2024-01-01,Monthly,2412177.94835346,633661.89689446,152117.93011046,481543.966784,1778516.051459,231353.797106,1029902.523075,781.0355040000001,0.0,270161.582142,246317.113632
2024-02-01,Monthly,2423051.56552009,634182.1855460899,153791.08683209,480391.098714,1788869.379974,235243.428715,1042456.281005,822.743258,0.0,269453.814828,240893.112168
2024-03-01,Monthly,2434180.503771829,639479.7880148301,153396.29344583,486083.494569,1794700.715757,233316.480185,1051056.302165,821.8899469999999,0.0,275463.7021380001,234042.341322
2024-04-01,Monthly,2425707.12272514,632456.63127714,153361.90288214,479094.728395,1793250.491448,233820.641894,1052720.383075,744.077552,0.01434,274772.2871139999,231193.087473
2024-05-01,Monthly,2430427.57768419,628865.59830919,152803.91514119,476061.683168,1801561.979375,234248.50325,1057039.078208,688.329527,0.0,277935.661358,231650.407032
2024-06-01,Monthly,2426401.30858519,635486.44635119,152163.63023819,483322.816113,1790914.862234,232568.671726,1049113.322507,699.972544,0.0,282913.895416,225619.0000410001
2024-07-01,Monthly,2423037.46468556,630652.2166935599,151443.47645156,479208.740242,1792385.247992,231943.929118,1057856.034601,675.3216379999999,0.0,284897.123513,217012.839122
2024-08-01,Monthly,2414067.47187027,630786.43213627,151895.57017727,478890.861959,1783281.039734,232707.289849,1058638.149783,659.3145089999999,0.0,273125.2082080001,218151.077385
2024-09-01,Monthly,2417121.63188471,638062.0649987101,151265.71332171,486796.351677,1779059.566886,231538.428218,1060362.173206,674.9777949999999,0.0,264087.691588,222396.296079
2024-10-01,Monthly,2438253.29099852,639264.46885652,152603.15983552,486661.309021,1798988.822142,231679.973191,1068597.789793,651.6931420000001,0.0,276477.363333,221582.002683
2024-11-01,Monthly,2454992.87359158,649385.51015258,152958.24110058,496427.269052,1805607.363439,233093.430141,1069229.414294,649.894858,0.0,279622.301855,223012.322291
2024-12-01,Monthly,2488430.48135352,660675.1589015201,154625.61591252,506049.542989,1827755.322452,238501.806593,1074306.821218,659.111118,0.0,301397.217252,212890.366271
2025-01-01,Monthly,2492236.5587416096,658050.45477961,162305.23226761,495745.22251200007,1834186.1039619998,239248.275459,1074562.220215,754.285217,0.0,303767.01899099996,215854.30408
2025-02-01,Monthly,2483043.0074604596,656514.1162164599,158355.04468546,498159.0715309999,1826528.8912439998,240779.61953700002,1071154.1538719998,541.0013630000001,0.0,300537.84048400004,213516.275988
2025-03-01,Monthly,2490114.78536687,662106.55611187,163176.82763386998,498929.72847800003,1828008.2292550001,242253.18487800003,1073742.948321,557.5339829999999,0.0,297677.90367800003,213776.65839500003
2025-04-01,Monthly,2502667.9006902203,657214.1782442201,159191.77793222002,498022.40031200007,1845453.7224460002,240757.99999999997,1079881.226042,744.442982,0.0,311416.52485600003,212653.528566
2025-05-01,Monthly,2495475.95393088,657008.1699508801,158310.79115588003,498697.378795,1838467.78398,237155.926811,1076457.241157,748.376971,0.011322,313372.673607,210733.55411199998
2025-06-01,Monthly,2503418.6332552303,675295.01200223,157252.14598923,518042.8660130001,1828123.621253,237350.729295,1071307.552169,531.162791,0.0,304870.90047000005,214063.27652800002
2025-07-01,Monthly,2516209.98575143,673922.87552243,158084.17319543,515838.7023270001,1842287.110229,238580.94926199998,1078677.2362270001,540.0555430000001,0.0,304254.91847499995,220233.95072199995
2025-08-01,Monthly,2512109.80481048,673662.18507648,159719.65003148,513942.535045,1838447.6197340002,237795.132888,1085194.231811,737.065682,0.0,301802.806854,212918.38249900003
2025-09-01,Monthly,2522834.5970244203,688591.16058142,159468.02540842,529123.1351729999,1834243.436443,240086.98804800003,1074929.90976,564.566514,57.451102,309549.163313,209055.35770600004
2025-10-01,Monthly,2546954.11817917,688127.0853851698,161393.94280417002,526733.1425809999,1858827.032794,239060.45244199998,1095438.7766290004,786.786162,0.0,302998.151901,220542.86565999998
