date,frequency,industry,total_loan_financing,stage_1_ecl,stage_2_ecl_not_impaired,stage_3_ecl_impaired,total_provisions,gross_impaired_ratio,net_impaired_ratio
2022-05-01,Monthly,Bank-bank Islam / Islamic Banks,739659.7164416894,665923.9726218095,62409.27778811,11326.466031769993,12427.406501000001,1.531307678381983,0.9247996654492594
2022-05-01,Monthly,Bank-bank Pelaburan / Investment/Merchant Banks,7425.553516210002,6765.222287880002,342.22712958,318.10409875,177.757591,4.283910930755235,2.6227795271734267
2022-05-01,Monthly,Jumlah / Total,1954096.554012877,1719527.892663107,199625.39015480995,34943.27119496001,34982.382752,1.788205967775825,1.1374633985549996
2022-06-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1211181.4594227585,1051927.8729090884,135772.43324736005,23481.15326631,22640.150413,1.9386982093914293,1.2079341405150479
2022-06-01,Monthly,Bank-bank Islam / Islamic Banks,748379.4937833402,674248.9829882702,62311.82514428998,11818.685650779997,12312.300018999998,1.579236971209899,0.9680365643818954
2022-06-01,Monthly,Bank-bank Pelaburan / Investment/Merchant Banks,7440.465641939998,6786.329622949997,342.98274819000005,311.1532708000001,175.588801,4.181905888337268,2.5341176994298142
2022-06-01,Monthly,Jumlah / Total,1967001.4188480387,1732963.1855203086,198427.24113984004,35610.99218789,35128.039233,1.8104202593176237,1.1215541780264646
2022-07-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1212744.0802881855,1057845.9996319257,131032.58018759998,23865.500468660004,22817.782596,1.9678925551208482,1.2178128933374068
2022-07-01,Monthly,Bank-bank Islam / Islamic Banks,753646.6640511798,679177.1209416798,62206.77263841997,12262.770471079997,12168.813696000001,1.6271246269654076,1.039968576192498
2022-07-01,Monthly,Bank-bank Pelaburan / Investment/Merchant Banks,7398.232892079998,6762.688871659999,324.37929834000005,311.16472208,178.86456800000002,4.205933046702408,2.5042050954738895
2022-07-01,Monthly,Jumlah / Total,1973788.9772314455,1743785.8094452654,193563.73212435996,36439.43566182,35165.46086,1.846166742350144,1.1546052880364783
2022-08-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1215007.2095230876,1061630.7094491078,129568.5517593299,23807.94831464999,23135.199091000002,1.9594902917485602,1.1832577116936578
2022-08-01,Monthly,Bank-bank Islam / Islamic Banks,765223.8713471402,690495.8699830001,62314.043932750086,12413.95743139,12239.338014,1.6222647902418175,1.035619537455893
2022-08-01,Monthly,Bank-bank Pelaburan / Investment/Merchant Banks,7407.418864089997,6792.704442379997,306.23741521,308.47700649999996,175.244259,4.164433146820521,2.467410906581228
2022-08-01,Monthly,Jumlah / Total,1987638.499734318,1758919.283874488,192188.83310728997,36530.38275253999,35549.781364,1.837878606065585,1.131084674848662
2022-09-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1218791.609997698,1065277.0203751079,129608.07027469006,23906.519347900008,22865.302157,1.9614935934737163,1.2081951256377668
2022-09-01,Monthly,Bank-bank Islam / Islamic Banks,772737.43391685,698338.1547818598,62165.78866154009,12233.490473450001,12383.776328,1.5831367727898087,0.9952646621180388
