date,frequency,industry,bank,total_financing,stage_1_ecl,stage_2_ecl_not_impaired,stage_3_ecl_impaired,total_provisions,gross_impaired_ratio,net_impaired_ratio
2014-12-01,Monthly,,,,,,,,,0.8756152182320682
2015-01-01,Monthly,,,,,,,,,0.9453952565915669
2015-02-01,Monthly,,,,,,,,,0.9785305175420262
2015-03-01,Monthly,,,,,,,,,0.9414918355910913
2015-04-01,Monthly,,,,,,,,,0.934118334688748
2015-05-01,Monthly,,,,,,,,,1.0008461092850918
2015-06-01,Monthly,,,,,,,,,0.9741446852608835
2015-07-01,Monthly,,,,,,,,,0.9851784055221633
2015-08-01,Monthly,,,,,,,,,0.9971939105111939
2015-09-01,Monthly,,,,,,,,,0.9839964524467906
2015-10-01,Monthly,,,,,,,,,0.9549717025048778
2015-11-01,Monthly,,,,,,,,,0.9482668509746899
2015-12-01,Monthly,,,,,,,,,0.9034169211323266
2016-01-01,Monthly,,,,,,,,,0.918077371918417
2016-02-01,Monthly,,,,,,,,,0.967775963232937
2016-03-01,Monthly,,,,,,,,,0.9192516265059498
2016-04-01,Monthly,,,,,,,,,0.925111615970537
2016-05-01,Monthly,,,,,,,,,1.0400156301774899
2016-06-01,Monthly,,,,,,,,,1.0688552831928646
2016-07-01,Monthly,,,,,,,,,1.0813282266132227
2016-08-01,Monthly,,,,,,,,,1.0551291560554212
2016-09-01,Monthly,,,,,,,,,1.0056875457527175
2016-10-01,Monthly,,,,,,,,,1.0050168976819156
2016-11-01,Monthly,,,,,,,,,1.002753021554692
2016-12-01,Monthly,,,,,,,,,0.9571380684450052
2017-01-01,Monthly,,,,,,,,,0.9538942949252169
2017-02-01,Monthly,,,,,,,,,0.9755461858478501
2017-03-01,Monthly,,,,,,,,,0.9799362851477453
2017-04-01,Monthly,,,,,,,,,1.0044759039603472
2017-05-01,Monthly,,,,,,,,,1.0218918425504835
2017-06-01,Monthly,,,,,,,,,1.0538458367028647
2017-07-01,Monthly,,,,,,,,,1.0604907172398597
2017-08-01,Monthly,,,,,,,,,1.0489491755480875
2017-09-01,Monthly,,,,,,,,,1.0714958173277067
2017-10-01,Monthly,,,,,,,,,1.026540109289059
2017-11-01,Monthly,,,,,,,,,0.9636051441827045
2017-12-01,Monthly,,,,,,,,,0.9017610417698838
2018-01-01,Monthly,Skim Perbankan Islam (SPI) / Islamic Banking Scheme (IBS),,,,,,14.633,,1.856845501243035
2018-01-01,Monthly,Bank-bank Islam / Islamic Banks,,,,,,6062.854,,0.6913578119156769
2018-01-01,Monthly,Jumlah / Total,,,,,,6077.487,,0.7041531898736549
2018-02-01,Monthly,Bank-bank Islam / Islamic Banks,,,,,,6147.652,,0.7108065521010158
2018-02-01,Monthly,Jumlah / Total,,,,,,6163.076,,0.7223160495927616
2018-02-01,Monthly,Skim Perbankan Islam (SPI) / Islamic Banking Scheme (IBS),,,,,,15.424,,1.7010272861068054
2018-03-01,Monthly,Jumlah / Total,,,,,,6564.735,,0.7669819803744461
2018-03-01,Monthly,Bank-bank Islam / Islamic Banks,,,,,,6552.8,,0.7223160495927616
2018-03-01,Monthly,Skim Perbankan Islam (SPI) / Islamic Banking Scheme (IBS),,,,,,11.935,,2.221750371638448
2018-04-01,Monthly,Bank-bank Islam / Islamic Banks,,,,,,8253.93,,0.7266525638936367
2018-04-01,Monthly,Skim Perbankan Islam (SPI) / Islamic Banking Scheme (IBS),,,,,,13.858,,2.03440756175606
2018-04-01,Monthly,Jumlah / Total,,,,,,8267.788,,0.7386207145486458
2018-05-01,Monthly,Jumlah / Total,,,,,,8336.828,,0.7463548445355784
2018-05-01,Monthly,Bank-bank Islam / Islamic Banks,,,,,,8317.498,,0.734467653651902
2018-05-01,Monthly,Skim Perbankan Islam (SPI) / Islamic Banking Scheme (IBS),,,,,,19.33,,1.9913072951091035
2018-06-01,Monthly,Jumlah / Total,,,,,,8364.99892,,0.7673718618097768
2018-06-01,Monthly,Skim Perbankan Islam (SPI) / Islamic Banking Scheme (IBS),,,,,,14.36,,1.2959300753676626
2018-06-01,Monthly,Bank-bank Islam / Islamic Banks,,,,,,8350.63892,,0.7595783977910083
2018-07-01,Monthly,Bank-bank Islam / Islamic Banks,,,,,,8169.654,,0.7168158815766077
2018-07-01,Monthly,Jumlah / Total,,,,,,8182.867,,0.7280684638248099
2018-07-01,Monthly,Skim Perbankan Islam (SPI) / Islamic Banking Scheme (IBS),,,,,,13.213,,1.7109669089123376
2018-08-01,Monthly,Skim Perbankan Islam (SPI) / Islamic Banking Scheme (IBS),,,,,,14.048,,1.6437794285868883
2018-08-01,Monthly,Jumlah / Total,,,,,,8483.571,,0.7441883120268735
2018-08-01,Monthly,Bank-bank Islam / Islamic Banks,,,,,,8469.523,,0.7335702024432634
2018-09-01,Monthly,Jumlah / Total,,,,,,8477.84239,,0.7349381025786704
2018-09-01,Monthly,Bank-bank Islam / Islamic Banks,,,,,,8461.127390000001,,0.7263943432295903
2018-09-01,Monthly,Skim Perbankan Islam (SPI) / Islamic Banking Scheme (IBS),,,,,,16.715,,1.3341925968675357
2018-10-01,Monthly,Jumlah / Total,,,,,,8528.09123,,0.7342048030097281
2018-10-01,Monthly,Skim Perbankan Islam (SPI) / Islamic Banking Scheme (IBS),,,,,,23.654,,1.2707399147350762
2018-10-01,Monthly,Bank-bank Islam / Islamic Banks,,,,,,8504.43723,,0.7260671043423302
2018-11-01,Monthly,Skim Perbankan Islam (SPI) / Islamic Banking Scheme (IBS),,,,,,29.66,,1.2477359652965525
2018-11-01,Monthly,Bank-bank Islam / Islamic Banks,,,,,,8481.40711,,0.7184649010961898
2018-11-01,Monthly,Jumlah / Total,,,,,,8511.06711,,0.7265850780585805
2018-12-01,Monthly,Bank-bank Islam / Islamic Banks,,,,,,7697.35866,,0.7824085673639476
2018-12-01,Monthly,Skim Perbankan Islam (SPI) / Islamic Banking Scheme (IBS),,,,,,67.6,,0.8718282966493742
2018-12-01,Monthly,Jumlah / Total,,,,,,7764.95866,,0.7837407511150135
2019-01-01,Monthly,Bank-bank Islam / Islamic Banks,,,,,,7776.80052,,0.8599727386237308
2019-01-01,Monthly,Jumlah / Total,,,,,,7847.45152,,0.8605078526060147
2019-01-01,Monthly,Skim Perbankan Islam (SPI) / Islamic Banking Scheme (IBS),,,,,,70.651,,0.8958011998775048
2019-02-01,Monthly,Bank-bank Islam / Islamic Banks,,,,,,7934.067930000001,,0.9304782755518142
2019-02-01,Monthly,Jumlah / Total,,,,,,7983.472930000001,,0.9303458767172765
2019-02-01,Monthly,Skim Perbankan Islam (SPI) / Islamic Banking Scheme (IBS),,,,,,49.405,,0.921349019336434
2019-03-01,Monthly,Bank-bank Islam / Islamic Banks,,,,,,7687.191970000001,,0.7976054173016972
2019-03-01,Monthly,Jumlah / Total,,,,,,7739.19397,,0.8030166721613015
2019-03-01,Monthly,Skim Perbankan Islam (SPI) / Islamic Banking Scheme (IBS),,,,,,52.002,,1.3383808918793945
2019-04-01,Monthly,Bank-bank Islam / Islamic Banks,,,,,,7594.354699999999,,0.9498283841197098
2019-04-01,Monthly,Jumlah / Total,,,,,,7649.217699999999,,0.9538379245435132
2019-04-01,Monthly,Skim Perbankan Islam (SPI) / Islamic Banking Scheme (IBS),,,,,,54.863,,1.3299358745690135
2019-05-01,Monthly,Jumlah / Total,,,,,,7730.26053,,0.9692193188971524
2019-05-01,Monthly,Bank-bank Islam / Islamic Banks,,,,,,7674.976529999999,,0.965503428660028
2019-05-01,Monthly,Skim Perbankan Islam (SPI) / Islamic Banking Scheme (IBS),,,,,,55.284,,1.3105601013394435
2019-06-01,Monthly,Jumlah / Total,,,,,,7674.182880000001,,1.1015937688493245
2019-06-01,Monthly,Skim Perbankan Islam (SPI) / Islamic Banking Scheme (IBS),,,,,,56.646,,1.3545860741526243
2019-06-01,Monthly,Bank-bank Islam / Islamic Banks,,,,,,7617.536880000001,,1.0988437781049407
2019-07-01,Monthly,Skim Perbankan Islam (SPI) / Islamic Banking Scheme (IBS),,,,,,57.815,,1.3157511448813417
2019-07-01,Monthly,Jumlah / Total,,,,,,7771.86442,,1.115157136366938
2019-07-01,Monthly,Bank-bank Islam / Islamic Banks,,,,,,7714.04942,,1.1129200775830532
2019-08-01,Monthly,Bank-bank Islam / Islamic Banks,,,,,,7767.563709999999,,1.1275487253099934
2019-08-01,Monthly,Skim Perbankan Islam (SPI) / Islamic Banking Scheme (IBS),,,,,,61.487,,1.3312928673098583
2019-08-01,Monthly,Jumlah / Total,,,,,,7829.050709999999,,1.1298814627297422
2019-09-01,Monthly,Skim Perbankan Islam (SPI) / Islamic Banking Scheme (IBS),,,,,,76.803,,1.4336367090668936
2019-09-01,Monthly,Bank-bank Islam / Islamic Banks,,,,,,7708.17513,,1.1293562652016254
2019-09-01,Monthly,Jumlah / Total,,,,,,7784.9781299999995,,1.1328470174488714
2019-10-01,Monthly,Jumlah / Total,,,,,,7797.74684,,1.124081992831459
2019-10-01,Monthly,Bank-bank Islam / Islamic Banks,,,,,,7719.93184,,1.120324163877585
2019-10-01,Monthly,Skim Perbankan Islam (SPI) / Islamic Banking Scheme (IBS),,,,,,77.815,,1.4469881746366424
2019-11-01,Monthly,Jumlah / Total,,,,,,7717.27068,,1.11605727897459
2019-11-01,Monthly,Bank-bank Islam / Islamic Banks,,,,,,7671.403679999999,,1.1231979605559577
2019-11-01,Monthly,Skim Perbankan Islam (SPI) / Islamic Banking Scheme (IBS),,,,,,45.867,,0.5035440753790998
