date,frequency,lcr,hqla_stock,net_cash_outflows,cb_lcr,cb_hqla_stock,cb_net_cash_outflows,ibs_lcr,ibs_hqla_stock,ibs_net_cash_outflows,inv_banks_lcr,inv_banks_hqla_stock,inv_banks_net_cash_outflows
2019-03-01,Monthly,1.4302416795006194,603033.62934,421630.58033,1.4107233935857786,411809.54599,291913.74288,1.458410416369855,169981.97545,116552.90825,1.6136601448752854,21242.1079,13163.9292
2019-04-01,Monthly,1.5988175798542628,624326.38906,390492.57209,1.5908614980005984,435015.88307,273446.73538,1.598701601042183,167861.19252,104998.4515,1.7804123547237352,21449.31347,12047.38521
2019-05-01,Monthly,1.5518697831775128,615050.52832,396328.69651,1.55491186467458,433655.54905,278893.97393,1.5119559432501313,160223.24714,105970.84383,1.8468210098610822,21171.73213,11463.87875
2019-06-01,Monthly,1.5302159096674757,612957.03623,400568.98661,1.485558940571609,426377.14621,287014.62767,1.6216157291036732,165658.93411,102156.71391,1.8355507523644996,20920.95591,11397.64503
2019-07-01,Monthly,1.5538238896136094,609803.51741,392453.43149,1.5322130479484684,424954.61566,277346.95004,1.5879073651988813,164046.71498,103310.0032,1.7634234836146967,20802.18677,11796.47825
2019-08-01,Monthly,1.5174587688118784,619095.43862,407981.72006,1.4976415572933506,434690.20444,290249.82802,1.5442769913576095,163819.66265,106081.78686,1.7669858951436523,20585.57153,11650.10518
2019-09-01,Monthly,1.4354668428495494,625805.45605911,435959.53412398,1.3942015926830276,440318.69499911,315821.39721398,1.519397313636325,165472.86254,108906.9074,1.7819864247436255,20013.89852,11231.22951
2019-10-01,Monthly,1.504550935818369,627625.44124718,417151.34151028004,1.5010986783256461,441310.80923718,293991.87116028,1.4872243860361731,165340.66331,111173.98616,1.7499475505127673,20973.9687,11985.48419
2019-11-01,Monthly,1.4313553433130732,616346.1802445201,430603.19236864004,1.418698115583752,431154.12054452003,303908.29155864,1.438154099052525,164538.07656,114409.21155,1.681141587004456,20653.98314,12285.68926
2019-12-01,Monthly,1.4914906354675415,611090.69082827,409718.0875941,1.4653506834972436,418414.98356827,285539.1465541,1.5300317717325647,172123.74352,112496.84268,1.7592698765806316,20551.96374,11682.09836
2020-01-01,Monthly,1.5130394341834261,603101.89121,398602.89004,1.5090782612310616,411953.03669,272983.21583,1.4970733859995715,171254.00207,114392.52322,1.77203036351077,19894.85245,11227.15099
2020-02-01,Monthly,1.4801504739149707,631098.96261,426374.86778,1.481406008796863,440628.13581,297439.14443,1.4560177167746662,169199.81623,116207.25097,1.6711361689736408,21271.01057,12728.47238
2020-03-01,Monthly,1.4138682854516516,632041.59924,447030.04215,1.4202499697599793,447202.31049,314875.7754,1.363365522767848,166214.16802,121914.60415,1.8189193782615454,18625.12073,10239.6626
2020-04-01,Monthly,1.438688205741272,653589.26513,454295.28269,1.4321051600363834,454181.51042,317142.56962,1.424109048878906,180040.98012,126423.59113,1.8050661273405193,19366.77459,10729.12194
2020-05-01,Monthly,1.4019672105328598,644036.53628,459380.59852,1.4317060908130226,451034.86589,315033.14038,1.3037241684244525,173757.29103,133277.64817,1.7384561624954435,19244.37936,11069.80997
2020-06-01,Monthly,1.491995042498115,653725.8708,438155.52477,1.5135756533195142,464797.54073,307085.76721,1.4089321551848168,169446.95329,120266.22621,1.803241565083254,19481.37678,10803.53135
2020-07-01,Monthly,1.5155083924600814,666124.24214,439538.47135,1.5511750073219162,480656.15282,309865.84399,1.3918631147491818,166054.44533,119303.71857,1.8722938337275121,19413.64399,10368.90879
2020-08-01,Monthly,1.4910641631066437,668208.5843,448142.07251,1.544762451430404,484727.39333,313787.65899,1.3299509719190992,165186.24612,124204.76364,1.8025197978553325,18294.94485,10149.64988
2020-09-01,Monthly,1.5151650205776257,688525.94895,454423.07577,1.5898010779209917,498458.13038,313534.90528,1.3136084215937964,170876.38078,130081.67272,1.775916508609986,19191.43779,10806.49777
2020-10-01,Monthly,1.529619833974584,671471.46442,438979.31336,1.5966797049789068,482984.35426,302492.95006,1.337135129126821,168562.62809,126062.52309,1.9114339503099502,19924.48207,10423.84021
2020-11-01,Monthly,1.499392823522173,659503.51614,439847.05395,1.5880115095288074,466184.92105,293565.20293,1.288318301377982,174108.75215,135144.20463,1.7247668194285346,19209.84294,11137.64639
2020-12-01,Monthly,1.4818481956233913,653601.68897,441071.96061,1.5169358601792682,451436.74961,297597.78344,1.371732322570787,182934.7475,133360.3827,1.9013825045626027,19230.19186,10113.79447
2021-01-01,Monthly,1.4760486784803453,672556.23726,455646.38014,1.5502039346934964,470107.94196,303255.54686,1.2893448903009406,183081.78294,141995.97355,1.8630854925446887,19366.51236,10394.85973
2021-02-01,Monthly,1.4710971363189214,663005.23338,450687.59704,1.5186336045293543,461136.84542,303652.47025,1.3533777952101553,182788.30843,135060.8153,1.5934176713153134,19080.07953,11974.31149
