date,frequency,funds_raised_in_the_capital_market_by_public_sector,malaysian_government_securities,mgs_advanced_subscriptions,bonds,malaysian_government_investment_issues,bon_savings_bonds,sukuk_government_housing_sukuk,new_issues_of_debt_securities,mgs,kb,mgii,redemptions_bon_savings_bonds,redemptions_sukuk_government_housing_sukuk,less_government_holdings,net_funds_raised_by_the_public_sector
2015-01-01,Monthly,,5479.49463881,0.0,0.0,4000.1111,0.0,0.0,9479.60573881,0.0,0.0,0.0,0.0,0.0,0.0,9479.60573881
2015-02-01,Monthly,,0.0,0.0,0.0,4000.0564,0.0,4000.0,8000.0563999999995,11796.74,0.0,0.0,0.0,0.0,0.0,-3796.6836000000003
2015-03-01,Monthly,,7999.99295,0.0,0.0,1499.9685,0.0,0.0,9499.961449999999,0.0,0.0,2000.0,0.0,0.0,0.0,7499.961449999999
2015-04-01,Monthly,,4000.0101,0.0,0.0,3999.8766,0.0,3500.0,11499.8867,0.0,0.0,0.0,0.0,0.0,0.0,11499.8867
2015-05-01,Monthly,,2000.09175,0.0,0.0,7098.3900441000005,0.0,0.0,9098.4817941,0.0,0.0,0.0,0.0,0.0,0.0,9098.4817941
2015-06-01,Monthly,,6490.92107289,0.0,0.0,3046.41405319,0.0,0.0,9537.33512608,0.0,0.0,0.0,0.0,0.0,0.0,9537.33512608
2015-07-01,Monthly,,2093.40244582,0.0,0.0,3510.16336652,0.0,0.0,5603.565812340001,0.0,0.0,7000.0,0.0,0.0,0.0,-1396.4341876599992
2015-08-01,Monthly,,6436.47459254,0.0,0.0,0.0,0.0,500.0,6936.47459254,10000.0,0.0,0.0,0.0,0.0,0.0,-3063.5254074599998
2015-09-01,Monthly,,5980.38371466,0.0,0.0,3018.4701,0.0,0.0,8998.85381466,11035.0,0.0,3500.0,0.0,0.0,0.0,-5536.14618534
2015-10-01,Monthly,,3448.337426,0.0,0.0,4490.19789316,0.0,0.0,7938.53531916,8237.7,0.0,0.0,0.0,0.0,0.0,-299.164680840001
2015-11-01,Monthly,,3421.17295946,0.0,0.0,3497.75597255,0.0,0.0,6918.92893201,0.0,0.0,0.0,0.0,0.0,0.0,6918.92893201
2015-12-01,Monthly,,3982.20671556,0.0,0.0,2894.79350307,0.0,0.0,6877.00021863,0.0,0.0,0.0,0.0,0.0,0.0,6877.00021863
2016-01-01,Annual,,44124.16419991001,0.0,0.0,43236.31002902001,0.0,0.0,87360.47422893002,26141.153,0.0,22000.0,0.0,0.0,0.0,39219.32122893002
2016-01-01,Monthly,,3081.35578838,0.0,0.0,6059.43704167,0.0,0.0,9140.79283005,0.0,0.0,0.0,0.0,0.0,0.0,9140.79283005
2016-02-01,Monthly,,3999.93305,0.0,0.0,3500.02665,0.0,0.0,7499.959699999999,0.0,0.0,7000.0,0.0,0.0,0.0,499.95969999999943
2016-03-01,Monthly,,5035.0737,0.0,0.0,4000.04608,0.0,0.0,9035.11978,0.0,0.0,0.0,0.0,0.0,0.0,9035.11978
2016-04-01,Monthly,,5565.95165748,0.0,0.0,3638.96366531,0.0,0.0,9204.91532279,0.0,0.0,0.0,0.0,0.0,0.0,9204.91532279
2016-05-01,Monthly,,7999.896060000001,0.0,0.0,2464.98912466,0.0,0.0,10464.885184660001,2172.0,0.0,0.0,0.0,0.0,0.0,8292.885184660001
2016-06-01,Monthly,,2584.96918573,0.0,0.0,3535.65894127,0.0,0.0,6120.628127,0.0,0.0,0.0,0.0,0.0,0.0,6120.628127
2016-07-01,Monthly,,2610.49642,0.0,0.0,3608.32306542,0.0,0.0,6218.81948542,11210.428,0.0,4000.0,0.0,0.0,0.0,-8991.608514579999
2016-08-01,Monthly,,6228.215488350001,0.0,0.0,3074.65566219,0.0,0.0,9302.87115054,0.0,0.0,0.0,0.0,0.0,0.0,9302.87115054
2016-09-01,Monthly,,3083.5840803,0.0,0.0,2185.44209037,0.0,0.0,5269.02617067,12758.724999999999,0.0,0.0,0.0,0.0,0.0,-7489.698829329998
2016-10-01,Monthly,,2025.10536967,0.0,0.0,6567.99230399,0.0,0.0,8593.09767366,0.0,0.0,0.0,0.0,0.0,0.0,8593.09767366
2016-11-01,Monthly,,1909.5834,0.0,0.0,3097.87103714,0.0,0.0,5007.454437140001,0.0,0.0,11000.0,0.0,0.0,0.0,-5992.545562859999
2016-12-01,Monthly,,0.0,0.0,0.0,1502.904367,0.0,0.0,1502.904367,0.0,0.0,0.0,0.0,0.0,0.0,1502.904367
2017-01-01,Annual,,53697.61715607,0.0,0.0,53706.9334373,0.0,0.0,107404.55059337,46750.0,0.0,20000.0,0.0,0.0,0.0,40654.550593370004
2017-01-01,Monthly,,3776.47012603,0.0,0.0,7478.52823973,0.0,0.0,11254.998365759999,0.0,0.0,0.0,0.0,0.0,0.0,11254.998365759999
2017-02-01,Monthly,,3062.52068813,0.0,0.0,4000.025,0.0,0.0,7062.54568813,8750.0,0.0,0.0,0.0,0.0,0.0,-1687.4543118700003
2017-03-01,Monthly,,8000.0844099999995,0.0,0.0,3969.98477037,0.0,0.0,11970.06918037,10500.0,0.0,0.0,0.0,0.0,0.0,1470.0691803699992
2017-04-01,Monthly,,5817.05236797,0.0,0.0,3999.9783,0.0,0.0,9817.03066797,2719.0,0.0,0.0,0.0,0.0,0.0,7098.030667970001
2017-05-01,Monthly,,4000.0955,0.0,0.0,6557.41768453,0.0,0.0,10557.51318453,0.0,0.0,0.0,0.0,0.0,0.0,10557.51318453
2017-06-01,Monthly,,2585.82065683,0.0,0.0,4109.84091,0.0,0.0,6695.66156683,0.0,0.0,3000.0,0.0,0.0,0.0,3695.66156683
2017-07-01,Monthly,,8061.9828599699995,0.0,0.0,2008.8807827,0.0,0.0,10070.86364267,0.0,0.0,0.0,0.0,0.0,0.0,10070.86364267
2017-08-01,Monthly,,3499.9545,0.0,0.0,6520.4878199800005,0.0,0.0,10020.44231998,0.0,0.0,9500.0,0.0,0.0,0.0,520.4423199800003
2017-09-01,Monthly,,4064.92275,0.0,0.0,4012.14562,0.0,0.0,8077.06837,12600.0,0.0,0.0,0.0,0.0,0.0,-4522.93163
2017-10-01,Monthly,,5478.86652126,0.0,0.0,2507.8261555,0.0,0.0,7986.69267676,12181.0,0.0,0.0,0.0,0.0,0.0,-4194.30732324
2017-11-01,Monthly,,2853.0932728400003,0.0,0.0,6041.714853449999,0.0,0.0,8894.80812629,0.0,0.0,7500.0,0.0,0.0,0.0,1394.8081262899996
2017-12-01,Monthly,,2496.75350162,0.0,0.0,2500.1032999999998,0.0,0.0,4996.85680162,0.0,0.0,0.0,0.0,0.0,0.0,4996.85680162
2018-01-01,Annual,,49052.57074155,0.0,0.0,64214.96617122999,0.0,0.0,113267.53691278002,33326.557,0.0,27500.0,0.0,0.0,0.0,52440.97991278001
2018-01-01,Monthly,,6425.4249164600005,0.0,0.0,4059.54119223,0.0,0.0,10484.966108690001,2000.0,0.0,0.0,0.0,0.0,0.0,8484.966108690001
2018-02-01,Monthly,,3995.45981443,0.0,0.0,4000.05164,0.0,0.0,7995.5114544299995,8379.18,0.0,0.0,0.0,0.0,0.0,-383.6685455700008
2018-03-01,Monthly,,7053.0933978699995,0.0,0.0,6095.47279439,0.0,0.0,13148.56619226,8091.557000000001,0.0,0.0,0.0,0.0,0.0,5057.009192259999
2018-04-01,Monthly,,3999.91351,0.0,0.0,6506.8558104700005,0.0,0.0,10506.76932047,0.0,0.0,0.0,0.0,0.0,0.0,10506.76932047
2018-05-01,Monthly,,6423.66961898,0.0,0.0,7019.20207487,0.0,0.0,13442.87169385,0.0,0.0,7500.0,0.0,0.0,0.0,5942.87169385
2018-06-01,Monthly,,2499.93125,0.0,0.0,3486.20373096,0.0,0.0,5986.13498096,0.0,0.0,0.0,0.0,0.0,0.0,5986.13498096
2018-07-01,Monthly,,5026.1548,0.0,0.0,4078.89348054,0.0,0.0,9105.04828054,0.0,0.0,0.0,0.0,0.0,0.0,9105.04828054
