date,frequency,initial_public_offers,rights_issues,restricted_offer_for_sale,special_issues,preference_shares,warrants,new_issues_of_shares_war_rants,straight_bonds,bonds_with_war_rants,conver_tible_bonds,islamic_bonds,asset_backed_bonds,medium_term_notes,bon_cagamas_bonds,new_issues_of_corporate_bond_and_or_sukuk,corporate_bond_and_or_sukuk,redemptions_bon_cagamas_bonds,net_issues_of_corporate_bond_and_or_sukuk,net_funds_raised_by_the_private_sector
2011-01-01,Monthly,460.79821200000004,14.3351,0.0,0.0,0.0,0.0,475.13331200000005,0.0,0.0,0.0,0.0,0.0,655.044,0.0,655.044,3476.0640970000004,200.0,-3021.0200970000005,-2545.8867850000006
2011-02-01,Monthly,30.450366,192.97327955000003,0.0,0.0,0.0,0.0,223.42364555000003,1345.714,0.0,0.0,0.0,0.0,7723.9166000000005,0.0,9069.6306,1062.46,165.0,7842.1706,8065.594245550001
2011-03-01,Monthly,32.21764,381.02748777,0.0,0.0,0.0,1.4857875,414.73091527,267.79457511,0.0,0.0,1000.0,0.0,1226.0,0.0,2493.79457511,3151.3661,135.0,-792.5715248900001,-377.84060962000007
2011-04-01,Monthly,89.8825,0.0,0.0,0.0,0.0,4.34288215,94.22538214999999,0.674229,0.0,0.0,250.0,0.0,3420.05128832,0.0,3670.72551732,1770.2289999999998,0.0,1900.4965173200003,1994.7218994700004
2011-05-01,Monthly,1233.3999999999999,526.4045617,0.0,0.0,0.0,0.0,1759.8045616999998,2400.0,0.0,0.0,0.0,0.0,3168.87707085,0.0,5568.87707085,3520.308,0.0,2048.5690708499997,3808.3736325499995
2011-06-01,Monthly,1614.7450609999999,359.808384,0.0,0.0,0.0,0.0,1974.5534449999998,438.93202200000036,0.0,0.0,1500.0,0.0,9728.0,0.0,11666.932022,2121.281,0.0,9545.651022000002,11520.204467000001
2011-07-01,Monthly,3190.8574900000003,83.37213200000001,0.0,0.0,0.0,0.0,3274.2296220000003,0.0,0.0,0.0,700.0,0.0,2012.16683224,0.0,2712.16683224,2400.683567,0.0,311.48326524000004,3585.7128872400003
2011-08-01,Monthly,0.0,473.146573,0.0,0.0,0.0,19.5273742,492.6739472,3500.0,0.0,0.0,585.44,0.0,9233.104777,0.0,13318.544777000001,5844.507919,0.0,7474.036858000001,7966.710805200001
2011-09-01,Monthly,0.0,74.52743385000001,0.0,0.0,0.0,0.0,74.52743385000001,0.0,0.0,0.0,600.0,0.0,2444.0,0.0,3044.0,3530.56273513,0.0,-486.56273512999996,-412.03530127999994
2011-10-01,Monthly,0.0,3025.46852135,0.0,0.0,0.0,0.0,3025.46852135,0.0,0.0,0.0,0.0,0.0,3389.08809276,0.0,3389.08809276,2577.7197541,0.0,811.3683386600001,3836.8368600100002
